Mes;Estanque;Sector;Parcela;Caudal
1;1;1;111;3.9
2;1;1;111;3.74
3;1;1;111;3.61
4;1;1;111;3.34
5;1;1;111;4.94
6;1;1;111;5.92
7;1;1;111;2.39
8;1;1;111;1.82
9;1;1;111;9.57
10;1;1;111;8.09
1;2;1;106;5.14
2;2;1;106;5.31
3;2;1;106;4.52
4;2;1;106;4.24
5;2;1;106;6.25
6;2;1;106;12.84
7;2;1;106;11.29
8;2;1;106;10.24
9;2;1;106;0
10;2;1;106;0
1;3;1;116;4.95
2;3;1;116;4.81
3;3;1;116;3.9
4;3;1;116;3.7
5;3;1;116;5.43
6;3;1;116;6.29
7;3;1;116;11.1
8;3;1;116;10.32
9;3;1;116;11.12
10;3;1;116;9.31
1;4;1;100;6.02
2;4;1;100;6.06
3;4;1;100;4.92
4;4;1;100;4.36
5;4;1;100;6.36
6;4;1;100;16.77
7;4;1;100;12.64
8;4;1;100;12.05
9;4;1;100;13.82
10;4;1;100;11.85
1;5;1;52;3.61
2;5;1;52;3.55
3;5;1;52;3.44
4;5;1;52;3.31
5;5;1;52;3.8
6;5;1;52;8.47
7;5;1;52;10.49
8;5;1;52;9.62
9;5;1;52;10.24
1;6;1;38;4.47
2;6;1;38;4.34
3;6;1;38;4.07
4;6;1;38;3.74
5;6;1;38;5.73
6;6;1;38;10.28
7;6;1;38;10.54
8;6;1;38;9.59
9;6;1;38;9.03
10;6;1;38;8.03
1;7;1;72;4.54
2;7;1;72;3.88
3;7;1;72;4.18
4;7;1;72;5.08
5;7;1;72;6.27
6;7;1;72;6.63
7;7;1;72;13.43
8;7;1;72;11.72
9;7;1;72;13.7
10;7;1;72;11.2
1;8;1;80;4.97
2;8;1;80;4.46
3;8;1;80;3.8
4;8;1;80;3.83
5;8;1;80;4.48
6;8;1;80;5.49
7;8;1;80;6.5
8;8;1;80;6.75
9;8;1;80;8.1
10;8;1;80;9
1;9;1;31;6.61
2;9;1;31;6.31
3;9;1;31;6.14
4;9;1;31;5.11
5;9;1;31;7.36
6;9;1;31;14.45
7;9;1;31;13.01
8;9;1;31;12.25
9;9;1;31;12.72
10;9;1;31;12.01
1;10;1;28;4.51
2;10;1;28;4.37
3;10;1;28;4.28
4;10;1;28;3.98
5;10;1;28;0.92
6;10;1;28;0.21
7;10;1;28;0.95
8;10;1;28;1.62
9;10;1;28;2.54
10;10;1;28;1.75
1;11;1;11;4.95
2;11;1;11;4.88
3;11;1;11;4.53
4;11;1;11;4.16
5;11;1;11;5.61
6;11;1;11;11.43
7;11;1;11;10.21
8;11;1;11;9.46
9;11;1;11;10.06
10;11;1;11;9.61
1;3;2;2;4.39
2;3;2;2;4.13
3;3;2;2;3.96
4;3;2;2;3.73
5;3;2;2;5.06
6;3;2;2;10.54
7;3;2;2;9.51
8;3;2;2;9.07
9;3;2;2;9.83
10;3;2;2;8.39
1;4;2;7;4.14
2;4;2;7;3.8
3;4;2;7;3.92
4;4;2;7;3.6
5;4;2;7;4.58
6;4;2;7;8.2
7;4;2;7;9.55
8;4;2;7;8.8
9;4;2;7;9.07
10;4;2;7;7.21
